기준년월,국가한글명,업종한글명,위험지수(Risk Index)
2025-04,가나,고무 및 플라스틱제품 제조업,5
2025-04,가나,금속 광업,5
2025-04,가나,도매 및 상품 중개업,4
2025-04,가나,자동차 및 트레일러 제조업,4
2025-04,가나,화학물질 및 화학제품 제조업; 의약품 제외,5
2025-04,감비아,도매 및 상품 중개업,5
2025-04,감비아,정보서비스업,5
2025-04,과달루프,자동차 및 부품 판매업,4
2025-04,과테말라,1차 금속 제조업,4
2025-04,과테말라,고무 및 플라스틱제품 제조업,4
2025-04,과테말라,금속가공제품 제조업; 기계 및 가구 제외,4
2025-04,과테말라,도매 및 상품 중개업,4
2025-04,과테말라,섬유제품 제조업; 의복제외,4
2025-04,과테말라,소매업; 자동차 제외,4
2025-04,과테말라,식료품 제조업,4
2025-04,과테말라,자동차 및 부품 판매업,4
2025-04,과테말라,펄프  종이 및 종이제품 제조업,4
2025-04,과테말라,화학물질 및 화학제품 제조업; 의약품 제외,4
2025-04,괌,우편 및 통신업,4
2025-04,그리스,1차 금속 제조업,3
2025-04,그리스,고무 및 플라스틱제품 제조업,3
2025-04,그리스,금속가공제품 제조업; 기계 및 가구 제외,3
2025-04,그리스,기타 기계 및 장비 제조업,3
2025-04,그리스,도매 및 상품 중개업,3
2025-04,그리스,소매업; 자동차 제외,3
2025-04,그리스,식료품 제조업,3
2025-04,그리스,우편 및 통신업,3
2025-04,그리스,의료  정밀  광학기기 및 시계 제조업,3
2025-04,그리스,인쇄 및 기록매체 복제업,3
2025-04,그리스,자동차 및 부품 판매업,3
2025-04,그리스,자동차 및 트레일러 제조업,3
2025-04,그리스,전기장비 제조업,3
2025-04,그리스,전문직별 공사업,3
2025-04,그리스,종합 건설업,4
2025-04,그리스,컴퓨터 프로그래밍  시스템 통합 및 관리업,3
2025-04,그리스,펄프  종이 및 종이제품 제조업,3
2025-04,그리스,화학물질 및 화학제품 제조업; 의약품 제외,3
2025-04,기니,도매 및 상품 중개업,5
2025-04,기니,화학물질 및 화학제품 제조업; 의약품 제외,5
2025-04,나이지리아,가구 제조업,5
2025-04,나이지리아,도매 및 상품 중개업,5
2025-04,나이지리아,석탄  원유 및 천연가스 광업,5
2025-04,나이지리아,화학물질 및 화학제품 제조업; 의약품 제외,5
2025-04,남아프리카공화국,1차 금속 제조업,4
2025-04,남아프리카공화국,개인 및 소비용품 수리업,4
2025-04,남아프리카공화국,건축기술  엔지니어링 및 기타 과학기술 서비스업,4
2025-04,남아프리카공화국,고무 및 플라스틱제품 제조업,4
2025-04,남아프리카공화국,금속가공제품 제조업; 기계 및 가구 제외,4
2025-04,남아프리카공화국,기타 기계 및 장비 제조업,4
2025-04,남아프리카공화국,기타 운송장비 제조업,4
2025-04,남아프리카공화국,기타 제품 제조업,5
2025-04,남아프리카공화국,도매 및 상품 중개업,4
2025-04,남아프리카공화국,비금속 광물제품 제조업,4
2025-04,남아프리카공화국,사업지원 서비스업,4
2025-04,남아프리카공화국,섬유제품 제조업; 의복제외,4
2025-04,남아프리카공화국,소매업; 자동차 제외,4
2025-04,남아프리카공화국,수도업,4
2025-04,남아프리카공화국,식료품 제조업,4
2025-04,남아프리카공화국,우편 및 통신업,4
2025-04,남아프리카공화국,의료  정밀  광학기기 및 시계 제조업,4
2025-04,남아프리카공화국,인쇄 및 기록매체 복제업,4
2025-04,남아프리카공화국,임대업; 부동산 제외,4
2025-04,남아프리카공화국,자동차 및 부품 판매업,4
2025-04,남아프리카공화국,자동차 및 트레일러 제조업,4
2025-04,남아프리카공화국,전기  가스  증기 및 공기조절 공급업,4
2025-04,남아프리카공화국,전기장비 제조업,4
2025-04,남아프리카공화국,종합 건설업,4
2025-04,남아프리카공화국,창고 및 운송관련 서비스업,4
2025-04,남아프리카공화국,출판업,4
2025-04,남아프리카공화국,컴퓨터 프로그래밍  시스템 통합 및 관리업,4
2025-04,남아프리카공화국,펄프  종이 및 종이제품 제조업,4
2025-04,남아프리카공화국,화학물질 및 화학제품 제조업; 의약품 제외,4
2025-04,남아프리카공화국,환경 정화 및 복원업,4
2025-04,네덜란드,건축기술  엔지니어링 및 기타 과학기술 서비스업,1
2025-04,네덜란드,고무 및 플라스틱제품 제조업,1
2025-04,네덜란드,금속가공제품 제조업; 기계 및 가구 제외,3
2025-04,네덜란드,금융업,1
2025-04,네덜란드,기타 기계 및 장비 제조업,1
2025-04,네덜란드,도매 및 상품 중개업,1
2025-04,네덜란드,비금속 광물제품 제조업,1
2025-04,네덜란드,사업지원 서비스업,1
2025-04,네덜란드,섬유제품 제조업; 의복제외,1
2025-04,네덜란드,식료품 제조업,1
2025-04,네덜란드,육상운송 및 파이프라인 운송업,1
2025-04,네덜란드,의료  정밀  광학기기 및 시계 제조업,1
2025-04,네덜란드,임대업; 부동산 제외,1
2025-04,네덜란드,자동차 및 부품 판매업,1
2025-04,네덜란드,자동차 및 트레일러 제조업,1
2025-04,네덜란드,전기장비 제조업,1
2025-04,네덜란드,전문 서비스업,4
2025-04,네덜란드,전자부품  컴퓨터  영상  음향 및 통신장비 제조업,1
2025-04,네덜란드,정보서비스업,1
2025-04,네덜란드,창고 및 운송관련 서비스업,1
2025-04,네덜란드,출판업,1
2025-04,네덜란드,컴퓨터 프로그래밍  시스템 통합 및 관리업,1
2025-04,네덜란드,코크스  연탄 및 석유정제품 제조업,1
2025-04,네덜란드,펄프  종이 및 종이제품 제조업,1
2025-04,네덜란드,화학물질 및 화학제품 제조업; 의약품 제외,1
2025-04,네팔,고무 및 플라스틱제품 제조업,4
2025-04,네팔,도매 및 상품 중개업,4
2025-04,네팔,식료품 제조업,4
2025-04,네팔,의료  정밀  광학기기 및 시계 제조업,4
2025-04,네팔,의료용 물질 및 의약품 제조업,4
2025-04,네팔,자동차 및 부품 판매업,4
2025-04,노르웨이,기타 기계 및 장비 제조업,1
2025-04,노르웨이,도매 및 상품 중개업,2
2025-04,노르웨이,소매업; 자동차 제외,2
2025-04,노르웨이,수상 운송업,1
2025-04,노르웨이,식료품 제조업,1
2025-04,노르웨이,의료  정밀  광학기기 및 시계 제조업,1
2025-04,노르웨이,의복  의복 액세서리 및 모피제품 제조업,1
2025-04,노르웨이,자동차 및 부품 판매업,1
2025-04,노르웨이,전기  가스  증기 및 공기조절 공급업,2
2025-04,노르웨이,전기장비 제조업,2
2025-04,노르웨이,전문 서비스업,1
2025-04,노르웨이,전자부품  컴퓨터  영상  음향 및 통신장비 제조업,1
2025-04,노르웨이,창고 및 운송관련 서비스업,1
2025-04,노르웨이,컴퓨터 프로그래밍  시스템 통합 및 관리업,1
2025-04,노르웨이,펄프  종이 및 종이제품 제조업,1
2025-04,노르웨이,화학물질 및 화학제품 제조업; 의약품 제외,1
2025-04,뉴질랜드,1차 금속 제조업,2
2025-04,뉴질랜드,고무 및 플라스틱제품 제조업,2
2025-04,뉴질랜드,기타 기계 및 장비 제조업,2
2025-04,뉴질랜드,도매 및 상품 중개업,2
2025-04,뉴질랜드,목재 및 나무제품 제조업; 가구 제외,2
2025-04,뉴질랜드,소매업; 자동차 제외,1
2025-04,뉴질랜드,식료품 제조업,2
2025-04,뉴질랜드,우편 및 통신업,2
2025-04,뉴질랜드,의료용 물질 및 의약품 제조업,2
2025-04,뉴질랜드,의복  의복 액세서리 및 모피제품 제조업,2
2025-04,뉴질랜드,인쇄 및 기록매체 복제업,2
2025-04,뉴질랜드,자동차 및 부품 판매업,2
2025-04,뉴질랜드,전기  가스  증기 및 공기조절 공급업,2
2025-04,뉴질랜드,전기장비 제조업,2
2025-04,뉴질랜드,펄프  종이 및 종이제품 제조업,2
2025-04,뉴질랜드,화학물질 및 화학제품 제조업; 의약품 제외,2
2025-04,뉴칼레도니아,광업 지원 서비스업,4
2025-04,뉴칼레도니아,도매 및 상품 중개업,4
2025-04,니카라과,도매 및 상품 중개업,5
2025-04,니카라과,소매업; 자동차 제외,5
2025-04,니카라과,우편 및 통신업,5
2025-04,니카라과,자동차 및 부품 판매업,5
2025-04,니카라과,화학물질 및 화학제품 제조업; 의약품 제외,5
2025-04,대만,1차 금속 제조업,2
2025-04,대만,가죽  가방 및 신발 제조업,2
2025-04,대만,건축기술  엔지니어링 및 기타 과학기술 서비스업,2
2025-04,대만,고무 및 플라스틱제품 제조업,2
2025-04,대만,금속가공제품 제조업; 기계 및 가구 제외,2
2025-04,대만,금융업,2
2025-04,대만,기타 기계 및 장비 제조업,2
2025-04,대만,기타 운송장비 제조업,2
2025-04,대만,기타 제품 제조업,2
2025-04,대만,도매 및 상품 중개업,2
2025-04,대만,방송업,2
2025-04,대만,비금속 광물제품 제조업,2
2025-04,대만,섬유제품 제조업; 의복제외,2
2025-04,대만,소매업; 자동차 제외,2
2025-04,대만,수상 운송업,2
2025-04,대만,식료품 제조업,2
2025-04,대만,우편 및 통신업,2
2025-04,대만,의료  정밀  광학기기 및 시계 제조업,2
2025-04,대만,의료용 물질 및 의약품 제조업,2
2025-04,대만,의복  의복 액세서리 및 모피제품 제조업,2
2025-04,대만,자동차 및 부품 판매업,2
2025-04,대만,자동차 및 트레일러 제조업,2
2025-04,대만,전기장비 제조업,2
2025-04,대만,전문직별 공사업,2
2025-04,대만,전자부품  컴퓨터  영상  음향 및 통신장비 제조업,2
2025-04,대만,종합 건설업,2
2025-04,대만,창고 및 운송관련 서비스업,2
2025-04,대만,출판업,2
2025-04,대만,코크스  연탄 및 석유정제품 제조업,2
2025-04,대만,펄프  종이 및 종이제품 제조업,2
2025-04,대만,화학물질 및 화학제품 제조업; 의약품 제외,2
2025-04,덴마크,개인 및 소비용품 수리업,1
2025-04,덴마크,고무 및 플라스틱제품 제조업,1
2025-04,덴마크,금속가공제품 제조업; 기계 및 가구 제외,1
2025-04,덴마크,기타 기계 및 장비 제조업,1
2025-04,덴마크,도매 및 상품 중개업,2
2025-04,덴마크,섬유제품 제조업; 의복제외,1
2025-04,덴마크,수상 운송업,1
2025-04,덴마크,식료품 제조업,1
2025-04,덴마크,의료  정밀  광학기기 및 시계 제조업,1
2025-04,덴마크,의료용 물질 및 의약품 제조업,1
2025-04,덴마크,의복  의복 액세서리 및 모피제품 제조업,1
2025-04,덴마크,자동차 및 부품 판매업,1
2025-04,덴마크,전문직별 공사업,1
2025-04,덴마크,전자부품  컴퓨터  영상  음향 및 통신장비 제조업,1
2025-04,덴마크,창고 및 운송관련 서비스업,1
2025-04,덴마크,컴퓨터 프로그래밍  시스템 통합 및 관리업,1
2025-04,덴마크,펄프  종이 및 종이제품 제조업,1
2025-04,덴마크,화학물질 및 화학제품 제조업; 의약품 제외,1
2025-04,도미니카공화국,1차 금속 제조업,4
2025-04,도미니카공화국,고무 및 플라스틱제품 제조업,4
2025-04,도미니카공화국,도매 및 상품 중개업,4
2025-04,도미니카공화국,비금속 광물제품 제조업,4
2025-04,도미니카공화국,소매업; 자동차 제외,4
2025-04,도미니카공화국,식료품 제조업,4
2025-04,도미니카공화국,우편 및 통신업,4
