국가명,국가등급,등급평가일자
러시아,7,2026-02-06
레바논,7,2026-02-06
루마니아,3,2026-02-06
리비아,7,2026-02-06
모로코,3,2026-02-06
몬테네그로,6,2026-02-06
몰도바,6,2026-02-06
바레인,6,2026-02-06
벨라루스,7,2026-02-06
보스니아-헤르체코비나,6,2026-02-06
북마케도니아,5,2026-02-06
불가리아,2,2026-02-06
사우디아라비아,2,2026-02-06
세르비아,4,2026-02-06
시리아,7,2026-02-06
아랍에미리트 연합,2,2026-02-06
아르메니아,5,2026-02-06
아제르바이잔,4,2026-02-06
알바니아,4,2026-02-06
알제리,5,2026-02-06
예멘,7,2026-02-06
오만,3,2026-02-06
요르단,5,2026-02-06
우즈베키스탄,5,2026-02-06
우크라이나,7,2026-02-06
이라크,7,2026-02-06
이란,7,2026-02-06
이집트,6,2026-02-06
조지아,5,2026-02-06
카자흐스탄,5,2026-02-06
카타르,2,2026-02-06
코소보,6,2026-02-06
쿠웨이트,2,2026-02-06
키르기즈공화국,7,2026-02-06
타지키스탄,7,2026-02-06
투르크메니스탄,7,2026-02-06
튀니지,7,2026-02-06
튀르키예(구 터키),5,2026-02-06
팔레스타인,7,2026-02-06
과달루프,3,2025-12-30
괌,3,2025-12-30
그리스,4,2025-12-30
그린랜드,3,2025-12-30
나바사섬,7,2025-12-30
남조지아.남샌드위치군도,7,2025-12-30
네덜란드,1,2025-12-30
노르웨이,1,2025-12-30
노르웨이속령,7,2025-12-30
노포크 아일랜드,7,2025-12-30
뉴질랜드,1,2025-12-30
뉴칼레도니아,4,2025-12-30
니우에,5,2025-12-30
대한민국,1,2025-12-30
덴마크,1,2025-12-30
독일,1,2025-12-30
라트비아,2,2025-12-30
레위니옹,4,2025-12-30
로스속령,7,2025-12-30
룩셈부르크,1,2025-12-30
리투아니아,2,2025-12-30
마요뜨,5,2025-12-30
말티니크,3,2025-12-30
맨섬,3,2025-12-30
멜리야,4,2025-12-30
몬트세라트,7,2025-12-30
미국,1,2025-12-30
미국령 버진군도,3,2025-12-30
미드웨이섬,7,2025-12-30
버뮤다,2,2025-12-30
베이커홀랜드섬,7,2025-12-30
벨기에,1,2025-12-30
