기준년도,업종,신용위험지수,신용평가건수,신용불량등급건수
2023,소매업,7.2,1210,87
2023,도매업,3.3,13578,443
2023,의류 제조업,2.9,940,27
2023,자동차 제조업,2.8,1241,35
2023,펄프종이 제조업,2.8,686,19
2023,자동차판매업,2.5,1927,49
2023,기계장비 제조업,2.3,1595,37
2023,전기장비 제조업,2.2,1779,40
2023,금속가공 제조업,2.1,1481,31
2023,금속 제조업,2,1070,21
2023,플라스틱 제조업,1.9,2946,56
2023,컴퓨터 제조업,1.8,1581,29
2023,섬유제품 제조업,1.7,2000,33
2023,공사업,1.6,555,9
2023,화학물질 제조업,1.5,3434,52
2023,식료품 제조업,1.5,752,11
2022,의약품 제조업,0.9,530,5
2022,소매업,3.7,1060,39
2022,도매업,3.1,13271,412
2022,의류 제조업,1.3,835,11
2022,자동차 제조업,1.6,1226,20
2022,펄프종이 제조업,0.9,632,6
2022,자동차판매업,2.1,1868,40
2022,기계장비 제조업,2.6,1561,40
2022,전기장비 제조업,1.8,1676,30
2022,금속가공 제조업,2.2,1468,32
2022,금속 제조업,2.2,1162,26
2022,플라스틱 제조업,1.2,2694,33
2022,컴퓨터 제조업,1.3,1620,21
2022,섬유제품 제조업,1.8,1866,33
2022,공사업,3.6,505,18
2022,화학물질 제조업,1.5,3268,48
2022,식료품 제조업,1.1,726,8
2022,의약품 제조업,1.1,569,6
